web_scraper_order,web_scraper_start_url,image,location,price,name
"1765120262-72","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3360468_uploaded_image1_1633037043.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","2 000CFA","Caille"
"1765120262-73","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3357168_uploaded_image1_1632871377.jpg","Guediawaye, Dakar, Sénégal","300 000CFA","Autruchon"
"1765120262-74","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3350491_uploaded_image1_1632436028.jpg","Dieuppeul-Derklé, Dakar, Sénégal","250 000CFA","Veaux"
"1765120262-75","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3348822_uploaded_image1_1632352988.jpg","Dakar, Sénégal","2 500 000CFA","Taureaux Holstein"
"1765120262-76","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3348819_uploaded_image1_1632352628.jpg","Dakar, Sénégal","2 200 000CFA","Géniteur Holstein"
"1765120262-77","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3345713_uploaded_image1_1632222841.jpg","Dakar Plateau, Dakar, Sénégal","100 000CFA","Carpe Koï"
"1765120262-78","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3341213_uploaded_image1_1631968364.jpg","Almadies, Dakar, Sénégal","40 000CFA","Chaton"
"1765120262-79","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3336754_uploaded_image1_1631736919.jpg","Guediawaye, Dakar, Sénégal","Prix sur demande","Perruches"
"1765120262-80","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3335012_uploaded_image1_1631654129.jpg","Dieuppeul-Derklé, Dakar, Sénégal","250 000CFA","Veaux"
"1765120262-81","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3330908_uploaded_image1_1631459213.jpg","Guediawaye, Dakar, Sénégal","1 200 000CFA","Bœuf"
"1765120262-82","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3321530_uploaded_image1_1631021949.jpg","Hann Bel-Air, Dakar, Sénégal","24 000CFA","Perruche"
"1765120262-83","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3319946_uploaded_image1_1630948417.jpg","Parcelle Assainies, Dakar, Sénégal","400CFA","Cailleteaux"
"1765120262-84","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3319937_uploaded_image1_1630948254.jpg","Parcelle Assainies, Dakar, Sénégal","2 500CFA","Caille"
"1765120262-85","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3318063_uploaded_image1_1630865928.jpg","Dieuppeul-Derklé, Dakar, Sénégal","Prix sur demande","Veaux"
"1765120262-86","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3316816_uploaded_image1_1630785391.jpg","Dakar, Sénégal","100 000CFA","Oie guinéen"
"1765120262-87","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3316810_uploaded_image1_1630785291.jpg","Dakar, Sénégal","90 000CFA","Oie gardien"
"1765120262-88","https://sn.coinafrique.com/categorie/autres-animaux?page=5","https://images.coinafrique.com/thumb_3315646_uploaded_image1_1630745395.jpg","Mermoz-Sacré Coeur, Dakar, Sénégal","Prix sur demande","Chèvre mâle"
